product_id;img_link;product_link
B00LM4W1N2;https://m.media-amazon.com/images/I/41Ae67XZACL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Parker-Classic-Gold-Ball-Pen/dp/B00LM4W1N2/ref=sr_1_197?qid=1672903005&s=computers&sr=1-197
B00LM4X0KU;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/4127NZ2xG6L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Parker-Quink-Ink-Bottle-Blue/dp/B00LM4X0KU/ref=sr_1_188?qid=1672903004&s=computers&sr=1-188
B00LM4X3XE;https://m.media-amazon.com/images/I/41ds2zVHE4L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Parker-Quink-Ink-Bottle-Black/dp/B00LM4X3XE/ref=sr_1_324?qid=1672903011&s=computers&sr=1-324
B00LOD70SC;https://m.media-amazon.com/images/I/31pJvN8OkSL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Pilot-Liquid-Roller-Ball-Black/dp/B00LOD70SC/ref=sr_1_300?qid=1672903010&s=computers&sr=1-300
B00LP9RFSU;https://m.media-amazon.com/images/I/41WfA7FDnzL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Eureka-Forbes-Amrit-Twin-Cartridge/dp/B00LP9RFSU/ref=sr_1_382?qid=1672923611&s=kitchen&sr=1-382
B00LUGTJGO;https://m.media-amazon.com/images/I/519JHuNt1RL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-RHX-2-800-Watt-Room-Heater/dp/B00LUGTJGO/ref=sr_1_17?qid=1672923591&s=kitchen&sr=1-17
B00LVMTA2A;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/5145vqMSaTL._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Panasonic-Lithium-CR2032-5BE-Battery/dp/B00LVMTA2A/ref=sr_1_97?qid=1672903000&s=computers&sr=1-97
B00LXTFMRS;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/4136eo-yWlL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Fevicryl-Acrylic-colors-Sunflower-Shades/dp/B00LXTFMRS/ref=sr_1_72?qid=1672902997&s=computers&sr=1-72
B00LY12TH6;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31filqqY7-L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Camel-Oil-Pastel-Reusable-Plastic/dp/B00LY12TH6/ref=sr_1_448?qid=1672903017&s=computers&sr=1-448
B00LY17RHI;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21C8ziy-IJL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Camlin-Elegante-Fountain-Pen-Black/dp/B00LY17RHI/ref=sr_1_476?qid=1672903018&s=computers&sr=1-476
